#WIN_LOSE_DRAW,ATK_AVG,ATK_OPS,PIT_ERA,PIT_WHIP,DEF_A,DEF_E,Cont_Winning_Rate_20,Diff,HOME_AWAY
W,0.349,1.021,5,1,6,0,0.5,2,A
L,0.265,0.728,11.25,1.88,10,1,0.5,5,A
W,0.342,0.874,4,1.44,13,1,0.5,4,A
L,0.188,0.465,7,1.78,11,0,0.5,4,H
W,0.436,1.244,0,1,6,0,0.5,5,H
L,0.275,0.72,2.45,1.18,15,1,0.5,13,H
W,0.316,0.828,0,0.44,9,1,0.4,1,A
L,0.227,0.556,2.31,0.94,21,0,0.4,8,A
L,0.257,0.686,11.25,2.75,16,0,0.4,1,A
W,0.303,0.895,2,1.67,13,2,0.5,5,H
L,0.133,0.402,8,2.78,8,1,0.5,6,H
L,0.129,0.408,7,1.44,10,0,0.5,12,H
W,0.294,1.046,5,1.44,8,1,0.667,7,H
W,0.371,1.1,9,1.67,7,0,0.667,5,H
L,0.161,0.429,9,2.44,15,4,0.667,1,H
W,0.314,0.985,5,1.89,10,1,0.563,12,A
W,0.385,0.876,2,0.89,11,0,0.563,5,A
L,0.222,0.639,6.23,2.54,9,1,0.563,2,A
L,0.129,0.464,4.5,1.38,7,0,0.357,1,A
W,0.206,0.603,0,0.44,7,1,0.357,4,A
L,0.257,0.602,3.38,1.13,10,0,0.357,3,A
L,0.316,0.883,11,2.44,13,0,0.467,1,H
L,0.172,0.495,10,2.44,9,2,0.467,4,H
L,0.188,0.704,5,1.67,9,1,0.467,8,H
L,0.316,0.771,8,1.89,9,1,0.4,1,H
W,0.4,1.104,8,1.89,11,2,0.4,3,H
L,0.188,0.406,4.5,1.5,11,0,0.5,8,A
W,0.39,0.983,6,2,11,1,0.5,1,A
L,0.286,0.924,4.5,1.88,11,1,0.5,2,A
L,0.265,0.834,7,1.44,9,1,0.333,1,H
L,0.226,0.615,9,2.22,9,2,0.333,7,H
W,0.286,0.771,4,1.22,10,1,0.333,1,H
L,0.188,0.497,9,2.44,9,1,0.563,8,H
L,0.385,0.852,5,1.22,6,0,0.563,1,H
W,0.222,0.793,3,1.11,9,0,0.467,1,A
L,0.156,0.469,13.5,2.25,9,0,0.467,10,A
W,0.333,0.834,1,1,10,1,0.667,8,A
L,0.243,0.734,3.72,0.72,9,0,0.667,1,A
L,0.273,0.587,3.38,1.88,15,1,0.667,4,A
L,0.167,0.485,5,1.89,8,0,0.357,2,H
L,0.107,0.31,8,1.89,11,2,0.357,7,H
L,0.167,0.409,6,1.56,8,2,0.5,4,H
L,0.235,0.748,5,1.22,8,0,0.5,1,H
W,0.265,0.776,0,0.78,11,0,0.5,3,A
L,0.242,0.76,2,0.67,9,0,0.5,2,A
L,0.243,0.641,6.75,2.38,4,1,0.5,5,A
W,0.372,0.992,0,0.67,16,0,0.563,15,A
L,0.156,0.362,9,2,9,0,0.563,7,A
W,0.341,0.897,6.3,1.7,11,0,0.563,1,A
W,0.25,0.753,9,1.33,8,0,0.667,9,H
W,0.27,0.783,14,2.22,9,0,0.667,6,H
L,0.371,0.863,4,1.22,11,1,0.667,1,H
W,0.314,0.87,5,1.67,12,1,0.4,2,H
L,0.207,0.634,3.38,1.38,11,0,0.467,1,A
L,0.194,0.576,4.5,1.38,7,0,0.467,5,A
L,0.242,0.628,10.13,2,6,0,0.467,1,A
W,0.375,1.184,2,1.33,10,0,0.467,7,A
W,0.167,0.731,4,1.11,10,0,0.5,3,H
L,0.25,0.615,9,2.44,15,2,0.5,8,H
W,0.382,1.068,6,1.78,7,1,0.5,1,H
L,0.212,0.631,5,1.56,7,0,0.5,3,H
W,0.432,1.153,7,1.44,11,1,0.5,6,H
L,0.235,0.627,6,1.11,5,0,0.5,2,H
W,0.359,1.012,0,0.89,10,1,0.667,8,A
W,0.306,0.713,2,1,8,1,0.667,1,A
W,0.294,0.795,6,1.56,12,1,0.667,1,A
W,0.405,1.03,5,1.89,7,0,0.5,8,A
L,0.206,0.623,6.75,1.88,7,1,0.5,1,A
L,0.103,0.267,14.63,2.75,9,0,0.5,12,A
W,0.356,0.976,4.09,1.36,11,0,0.5,4,A
L,0.212,0.455,3.38,1,9,1,0.5,1,A
L,0.194,0.458,10.13,1.88,13,3,0.5,11,A
W,0.275,0.626,2,0.89,4,0,0.5,3,A
W,0.219,0.743,4,1.22,6,0,0.5,1,A
L,0.212,0.672,5.63,1.75,10,0,0.5,1,A
W,0.161,0.373,0,0.33,8,0,0.357,2,A
W,0.2,0.564,2,1.44,12,1,0.357,1,A
L,0.161,0.373,7.88,2.5,8,1,0.357,6,A
W,0.172,0.372,0,0.78,14,1,0.5,1,H
W,0.185,0.631,0,0.67,13,2,0.5,3,H
L,0.297,0.733,5,1.11,8,0,0.563,1,H
L,0.133,0.395,3,1.78,10,0,0.563,2,H
L,0.36,1.048,2.84,1.42,6,0,0.563,4,H
L,0.308,0.913,1.25,3,8,1,0.4,5,A
D,0.179,0.583,3,1.89,10,0,0.4,0,A 
D,0.349,0.928,8,1.78,2,0,0.667,0,H
W,0.31,0.911,2,0.78,14,0,0.667,2,H
L,0.257,0.686,9,1.78,12,0,0.357,5,H
W,0.233,0.81,0,0.78,11,0,0.467,1,H
W,0.324,0.931,1,0.78,15,2,0.5,6,A
L,0.652,0.39,9,1.88,4,1,0.5,6,A
W,0.27,0.614,1.33,0.17,11,1,0.5,2,A
L,0.257,0.621,9,2.44,6,1,0.333,7,H
W,0.606,0.767,3,0.78,5,0,0.333,1,H
L,0.343,1.186,13,3.11,11,0,0.5,6,H
L,0.212,0.49,5,1.67,11,2,0.5,5,H
W,0.286,0.823,7,1.89,11,0,0.4,1,A
W,0.306,0.736,3,1.22,11,2,0.4,2,A
L,0.129,0.375,1.13,0.75,6,2,0.5,3,A
W,0.233,0.59,0,1.11,9,0,0.563,2,A
L,0.167,0.476,13.5,3.5,10,1,0.467,11,A
W,0.257,0.582,0,1,12,1,0.467,2,A
L,0.405,0.992,11,2.22,13,0,0.5,2,H
